parent,name,value
null,Anime,30
Anime,d games in anime and manga,22
Anime,king in anime and manga,43
Anime,ime in anime and manga,24
ime in anime and manga,Lupin III,29
Anime,ss-dressing in anime and manga,35
Anime,ssover anime and manga,31
Anime,borgs in anime and manga,9
Anime,dcaptor Sakura,15
Anime,utie Honey,17
Anime,se Closed episode lists,30
Anime,hildrens manga,58
hildrens manga,Winners of the Shogakukan Manga Award for childrens manga,29
Anime,medy anime and manga,201
medy anime and manga,Romantic comedy anime and manga,193
Anime,ming-of-age anime and manga,61
Anime,berpunk anime and manga,73
Anime,se Closed films,25
Anime,n Shin-chan films,27
Anime,loverWorks,11
Anime,nnect (studio),11
Anime,mbiners (Transformers),15
Anime,se Closed songs,36
Anime,hild characters in anime and manga,38
Anime,lamp characters,16
Anime,splay,36
Anime,splayers,50
Anime,unchyroll Anime Awards winners,31
Anime,ntral Park Media,111
Anime,PM Press,16
Anime,unchyroll,69
